	0
Omegac_OWNPV_COV_	{ 0.000278890f, 5.50098e-07f, 0.000232625f, 5.50098e-07f, 0.000262440f, -3.81321e-05f, 0.000232625f, -3.81321e-05f, 0.00525625f }
Omegac_OWNPV_NDOF	21
Omegac_OWNPV_X	0.9162
Omegac_OWNPV_XERR	0.0167
Omegac_OWNPV_Y	0.1816
Omegac_OWNPV_YERR	0.0162
Omegac_OWNPV_Z	7.5813
Omegac_OWNPV_ZERR	0.0725
Omegac_P	76966.2865678433
Omegac_PE	77013.43785746153
Omegac_PHI	-0.8809215030567228
Omegac_PT	3603.0870315799366
Omegac_PX	2293.151000292353
Omegac_PY	-2779.1535846364627
Omegac_PZ	76881.9031494814
Omegac_Y	3.532378645352469
Polarity	-1
eventNumber	91809434
nBackTracks	0
nCandidate	0
nDownstreamTracks	14
nITClusters	567
nLongTracks	62
nMuonCoordsS0	465
nMuonCoordsS1	86
nMuonCoordsS2	12
nMuonCoordsS3	1
nMuonCoordsS4	3
nMuonTracks	1
nOTClusters	6324
nPVs	2
nRich1Hits	2993
nRich2Hits	1879
nSPDHits	424
nTTClusters	990
nTTracks	0
nTracks	76
nUpstreamTracks	0
nVeloClusters	2014
nVeloTracks	0
pi_ETA	4.082042419509264
pi_ID	211
pi_IPCHI2_OWNPV	53.92427307772502
pi_IP_OWNPV	12.166391086025971
pi_M	139.5701758413129
pi_ORIVX_CHI2	0.030941449105739594
pi_ORIVX_COV_	{ 3.36172f, -2.89188f, 98.2242f, -2.89188f, 3.05900f, -88.5324f, 98.2242f, -88.5324f, 2946.85f }
pi_ORIVX_NDOF	1
pi_ORIVX_X	29.9068
pi_ORIVX_XERR	1.8335
pi_ORIVX_Y	-26.0252
pi_ORIVX_YERR	1.749
pi_ORIVX_Z	890.6983
pi_ORIVX_ZERR	54.2849
pi_OWNPV_CHI2	12.69858455657959
pi_OWNPV_COV_	{ 0.000278890f, 5.50098e-07f, 0.000232625f, 5.50098e-07f, 0.000262440f, -3.81321e-05f, 0.000232625f, -3.81321e-05f, 0.00525625f }
pi_OWNPV_NDOF	21
pi_OWNPV_X	0.9162
pi_OWNPV_XERR	0.0167
pi_OWNPV_Y	0.1816
pi_OWNPV_YERR	0.0162
pi_OWNPV_Z	7.5813
pi_OWNPV_ZERR	0.0725
pi_Omegac_1_ETA	3.2232202969153705
pi_Omegac_1_ID	-211
pi_Omegac_1_IPCHI2_OWNPV	0.38881250951762997
pi_Omegac_1_IP_OWNPV	0.047658150309084
pi_Omegac_1_M	139.57060999999408
pi_Omegac_1_ORIVX_CHI2	2.87283860727617
pi_Omegac_1_ORIVX_COV_	{ 0.00320870f, -0.00335221f, 0.0845365f, -0.00335221f, 0.00451208f, -0.103446f, 0.0845365f, -0.103446f, 2.63669f }
pi_Omegac_1_ORIVX_NDOF	5
pi_Omegac_1_ORIVX_X	0.9327301844869497
pi_Omegac_1_ORIVX_XERR	0.05664537640417638
pi_Omegac_1_ORIVX_Y	0.15730764417401977
pi_Omegac_1_ORIVX_YERR	0.06717201680968028
pi_Omegac_1_ORIVX_Z	9.583445401893691
pi_Omegac_1_ORIVX_ZERR	1.6237889894548707
pi_Omegac_1_OWNPV_CHI2	60.701847076416016
pi_Omegac_1_OWNPV_COV_	{ 7.56900e-05f, -1.19712e-07f, -3.36171e-05f, -1.19712e-07f, 7.39600e-05f, 1.36232e-05f, -3.36171e-05f, 1.36232e-05f, 0.00231361f }
pi_Omegac_1_OWNPV_NDOF	133
pi_Omegac_1_OWNPV_X	0.8872
pi_Omegac_1_OWNPV_XERR	0.0087
pi_Omegac_1_OWNPV_Y	0.1858
pi_Omegac_1_OWNPV_YERR	0.0086
pi_Omegac_1_OWNPV_Z	9.6854
pi_Omegac_1_OWNPV_ZERR	0.0481
pi_Omegac_1_P	3527.51
pi_Omegac_1_PE	3530.270068319954
pi_Omegac_1_PHI	-0.3594603615243311
pi_Omegac_1_PIDK	-3.497391939163208
pi_Omegac_1_PIDd	-3.497391939163208
pi_Omegac_1_PIDe	-4.205580711364746
pi_Omegac_1_PIDmu	-8.91917610168457
pi_Omegac_1_PIDp	-3.497391939163208
pi_Omegac_1_PT	280.53247704249833
pi_Omegac_1_PX	262.6027454002661
pi_Omegac_1_PY	-98.68266708922535
pi_Omegac_1_PZ	3516.3373457938305
pi_Omegac_1_ProbNNd	-1000.0
pi_Omegac_1_ProbNNe	3.4998985938727856e-05
pi_Omegac_1_ProbNNghost	0.0211152546107769
pi_Omegac_1_ProbNNk	0.02720784954726696
pi_Omegac_1_ProbNNmu	-1000.0
pi_Omegac_1_ProbNNp	0.020380806177854538
pi_Omegac_1_ProbNNpi	0.9154412746429443
pi_Omegac_1_RichAboveElThres	True
pi_Omegac_1_RichAboveKaThres	False
pi_Omegac_1_RichAboveMuThres	True
pi_Omegac_1_RichAbovePiThres	True
pi_Omegac_1_RichAbovePrThres	False
pi_Omegac_1_TRACK_CHI2NDOF	0.9393506050109863
pi_Omegac_1_TRACK_CloneDist	-1.0
pi_Omegac_1_TRACK_GhostProb	0.010963701643049717
pi_Omegac_1_TRACK_Key	14
pi_Omegac_1_TRACK_Likelihood	999.0
pi_Omegac_1_TRACK_MatchCHI2	6.956539154052734
pi_Omegac_1_TRACK_PCHI2	0.5690420759582049
pi_Omegac_1_TRACK_Type	3
pi_Omegac_1_UsedRich1Gas	True
pi_Omegac_1_UsedRich2Gas	False
pi_Omegac_1_UsedRichAerogel	False
pi_Omegac_1_Y	3.1130306750319834
pi_Omegac_1_hasCalo	True
pi_Omegac_1_hasMuon	True
pi_Omegac_1_hasRich	True
pi_Omegac_1_isMuon	False
pi_Omegac_2_ETA	3.7473122092215028
pi_Omegac_2_ID	-211
pi_Omegac_2_IPCHI2_OWNPV	1.0701245160893127
pi_Omegac_2_IP_OWNPV	0.06089676373229185
pi_Omegac_2_M	139.57061000000076
pi_Omegac_2_ORIVX_CHI2	2.87283860727617
pi_Omegac_2_ORIVX_COV_	{ 0.00320870f, -0.00335221f, 0.0845365f, -0.00335221f, 0.00451208f, -0.103446f, 0.0845365f, -0.103446f, 2.63669f }
pi_Omegac_2_ORIVX_NDOF	5
pi_Omegac_2_ORIVX_X	0.9327301844869497
pi_Omegac_2_ORIVX_XERR	0.05664537640417638
pi_Omegac_2_ORIVX_Y	0.15730764417401977
pi_Omegac_2_ORIVX_YERR	0.06717201680968028
pi_Omegac_2_ORIVX_Z	9.583445401893691
pi_Omegac_2_ORIVX_ZERR	1.6237889894548707
pi_Omegac_2_OWNPV_CHI2	12.69858455657959
pi_Omegac_2_OWNPV_COV_	{ 0.000278890f, 5.50098e-07f, 0.000232625f, 5.50098e-07f, 0.000262440f, -3.81321e-05f, 0.000232625f, -3.81321e-05f, 0.00525625f }
pi_Omegac_2_OWNPV_NDOF	21
pi_Omegac_2_OWNPV_X	0.9162
pi_Omegac_2_OWNPV_XERR	0.0167
pi_Omegac_2_OWNPV_Y	0.1816
pi_Omegac_2_OWNPV_YERR	0.0162
pi_Omegac_2_OWNPV_Z	7.5813
pi_Omegac_2_OWNPV_ZERR	0.0725
pi_Omegac_2_P	10984.05
pi_Omegac_2_PE	10984.936702488356
pi_Omegac_2_PHI	-1.0616873792897048
pi_Omegac_2_PIDK	-27.432844161987305
pi_Omegac_2_PIDd	-24.83983612060547
pi_Omegac_2_PIDe	-9.534502983093262
pi_Omegac_2_PIDmu	-8.556990623474121
pi_Omegac_2_PIDp	-24.83983612060547
pi_Omegac_2_PT	517.7427824067871
pi_Omegac_2_PX	252.34751736512158
pi_Omegac_2_PY	-452.08220404477476
pi_Omegac_2_PZ	10971.841085878234
pi_Omegac_2_ProbNNd	-1000.0
pi_Omegac_2_ProbNNe	1.1700110325030266e-10
pi_Omegac_2_ProbNNghost	0.001260426826775074
pi_Omegac_2_ProbNNk	0.0011272333795204759
pi_Omegac_2_ProbNNmu	-1000.0
pi_Omegac_2_ProbNNp	0.00016580968804191798
pi_Omegac_2_ProbNNpi	0.9990796446800232
pi_Omegac_2_RichAboveElThres	True
pi_Omegac_2_RichAboveKaThres	True
pi_Omegac_2_RichAboveMuThres	True
pi_Omegac_2_RichAbovePiThres	True
pi_Omegac_2_RichAbovePrThres	False
pi_Omegac_2_TRACK_CHI2NDOF	0.6425562500953674
pi_Omegac_2_TRACK_CloneDist	-1.0
pi_Omegac_2_TRACK_GhostProb	0.011135916225612164
pi_Omegac_2_TRACK_Key	0
pi_Omegac_2_TRACK_Likelihood	999.0
pi_Omegac_2_TRACK_MatchCHI2	2.9147837162017822
pi_Omegac_2_TRACK_PCHI2	0.9546513044994583
pi_Omegac_2_TRACK_Type	3
pi_Omegac_2_UsedRich1Gas	True
pi_Omegac_2_UsedRich2Gas	True
pi_Omegac_2_UsedRichAerogel	False
pi_Omegac_2_Y	3.7122767948051703
pi_Omegac_2_hasCalo	True
pi_Omegac_2_hasMuon	True
pi_Omegac_2_hasRich	True
pi_Omegac_2_isMuon	False
pi_P	6024.899566175356
pi_PE	6026.51596002901
pi_PHI	-0.6358063794310846
pi_PIDK	-8.64211368560791
pi_PIDd	-8.64211368560791
pi_PIDe	-5.346673488616943
pi_PIDmu	1.1086678504943848
pi_PIDp	-8.64211368560791
pi_PT	203.25801730805108
pi_PX	163.54
pi_PY	-120.7
pi_PZ	6021.47
pi_ProbNNd	-1000.0
pi_ProbNNe	6.781243428122252e-05
pi_ProbNNghost	0.9609668850898743
pi_ProbNNk	0.006373932119458914
pi_ProbNNmu	-1000.0
pi_ProbNNp	0.010378403589129448
pi_ProbNNpi	0.3172157406806946
pi_RichAboveElThres	True
pi_RichAboveKaThres	False
pi_RichAboveMuThres	True
pi_RichAbovePiThres	True
pi_RichAbovePrThres	False
pi_TRACK_CHI2NDOF	1.9131287336349487
pi_TRACK_CloneDist	-1.0
