Omegac_M,Omega_M,pi_Omegac_1_P,pi_Omegac_2_P,Omega_PE,Omega_PX,Omega_PY,Omega_PZ,pi_Omegac_1_PE,pi_Omegac_1_PX,pi_Omegac_1_PY,pi_Omegac_1_PZ,pi_Omegac_2_PE,pi_Omegac_2_PX,pi_Omegac_2_PY,pi_Omegac_2_PZ,pi_mi_Omegac_PE,pi_mi_Omegac_PX,pi_mi_Omegac_PY,pi_mi_Omegac_PZ,sweight_signal,sweight_background
2713.2270440903153,1669.9744758528498,10570.6,12975.62,31799.798391772863,1578.72,-107.41,31716.47,10571.521381294926,476.323857707037,-310.14606268454764,10555.30716570486,12976.370615067057,767.652782944022,-494.98205634838126,12943.431397938162,7817.096083436341,295.3724132120603,-382.1456259903755,7800.912195413413,-0.3018790538774631,1.3017595380036449
2658.664402606208,1678.8207915081348,6424.510000000001,33834.64,149869.34842374173,-6427.08,2569.01,149700.02,6426.025886601748,-195.85175884518128,314.6770036694781,6413.809259092358,33834.927868768624,-1480.0126770015424,348.2204621102902,33800.4610754836,21364.89589183096,-1003.7155269493385,230.97363549323703,21339.59940660245,-0.31934677557723845,1.3192251047601202
2692.7123557763716,1674.165538410106,4720.1,6738.790000000001,61226.44748051613,2737.48,-2681.82,61083.46,4722.16305999441,131.7383716810766,-421.7787818882964,4699.371412282248,6740.2352050411255,422.62774356629114,-435.11597785021956,6711.434313191743,13135.341530206813,767.3688855583166,-178.89031284500263,13110.944298922457,1.3339452541754135,-0.3338629630423659
2689.421371530568,1658.1584664922711,7655.32,5075.69,66909.01498488676,4253.26,1740.39,66730.41,7656.592209173463,760.790601395962,562.780014195653,7596.604545377461,5077.60858389811,356.2551016731557,92.76548460939767,5062.322178950785,6028.745805893276,591.5918339676008,321.598932658941,5989.398072043256,0.9293867176150389,0.07064566427839007
2710.561293679675,1658.1584664922711,7655.32,5075.69,66909.01498488676,4253.26,1740.39,66730.41,7656.592209173463,760.790601395962,562.780014195653,7596.604545377461,5077.60858389811,356.2551016731557,92.76548460939767,5062.322178950785,4274.609173254998,187.90710598076467,315.25015260364665,4256.53754708041,-0.2522653790000778,1.2521519838246604
2733.9213372735962,1661.397830141692,6701.510000000001,28291.160000000007,42794.32312720695,-937.97,2783.68,42661.05,6702.963242870707,-189.8443650738553,375.381535335039,6688.294558411675,28291.50427426538,-1153.9037514573943,2157.120163017001,28185.192440007897,4969.78022729132,-236.2147490444917,538.0657533789582,4932.942670432587,-0.31934678173530534,1.3192251109174273
2691.313161578947,1664.9022493828459,4282.07,7805.33,18252.94252940057,1750.64,892.64,18070.32,4284.343991800351,552.6733455884399,376.5551201228517,4229.525020553176,7806.577762635544,576.2270253665913,366.5544637049482,7775.395594391011,6703.773067279036,375.0864509995496,66.0732439768398,6691.48995838049,1.195887912021341,-0.19582265263116347
2692.5952708169625,1672.4928250967178,4380.6900000000005,7623.83,24116.338669107714,-1241.69,-1611.43,23972.11,4382.912824968776,-73.34609485557641,-612.3017672968701,4337.067185579971,7625.107463116554,-20.96637862566489,-389.0894087064035,7613.865884811724,2122.673512713571,-233.38511970917753,-268.22228239847766,2088.0256414908517,1.3246794528730566,-0.3245983048356444
2720.6629196963145,1681.9414377440366,18708.409999999996,7441.689999999998,58474.73631094543,-3991.05,2851.65,58244.36,18708.930613032793,-1229.996447411414,1381.677381978127,18616.73121360421,7442.998724390307,-475.55631091510145,433.2569226398081,7413.830635389068,9406.495509315664,-995.1769932591185,687.2259814529021,9327.380179562953,-0.31921744017594367,1.3190957853145668
2716.8917283153282,1663.4686651692243,21114.339999999997,6090.06,32320.00933567161,-2993.53,-224.79,32137.27,21114.801291766296,-2371.6048218311066,-283.5959425471021,20978.808773284487,6091.659113802723,-587.616707187868,-250.68833553898745,6056.458764613063,7312.632060016132,-744.6786051755554,143.53816787563002,7271.860715068509,-0.3174278959819356,1.3173064618915522
2655.4768170005773,1661.6823553253978,9940.55,10283.939999999999,32896.39475291631,3582.56,522.4,32654.31,9941.529774520406,666.2591558027564,199.39836824769282,9916.192481519767,10284.887062033094,696.1259914846652,83.98268517936198,10260.008646983177,8492.556961438397,836.0955923507894,23.104390652708442,8450.1156285393,-0.31934678189359067,1.319225111075693
2730.8904857735097,1670.0481280489378,19816.81,8719.01,39669.41175033983,2536.14,-36.78,39553.0,19817.301494685795,938.8990838485814,-132.43805162480774,19794.11243902919,8720.127025180067,590.5673999732938,-69.88157473426247,8698.705771073157,8582.354959075961,400.8185401706909,345.90135134652303,8564.872062173028,-0.3193467720661988,1.3192251012495135
2689.118676424604,1670.46251080352,8487.46,12363.099999999999,83649.63040940945,-4835.28,559.6,83491.18,8488.607495153476,-563.5592826551903,-84.11633265203966,8468.31167524639,12363.887801382529,-654.4651760136578,-133.7365425122953,12345.040764638336,18792.908286565864,-584.17902889938,321.0349651880327,18780.564244064153,0.8806109926236048,0.11941537194692446
2702.054689945197,1675.7595292881374,37359.57,9251.2,80262.49070228136,-2185.72,5630.77,80017.35,37359.83070812923,-979.7017926128818,2696.3120774704407,37249.26249153583,9252.252774064043,-108.63887295722583,883.8943478513595,9208.237063473063,15437.770931542407,-127.25166895257112,1239.5134517257718,15386.770447216648,0.6769572001385908,0.32304404024097494
2737.3035383766096,1671.4567000075115,9116.470000000001,2242.07,37086.91977006044,-3920.38,3305.88,36692.61,9117.538330935373,-1276.6567555459933,986.9867271968875,8972.515254361842,2246.4099893108946,-436.82544347624236,353.26034646551255,2170.5456789588306,6557.705440439954,-476.98294443006336,609.5105814283394,6510.376702637853,-0.31934678206046174,1.3192251112425435
2684.293569838292,1675.1566344674986,8797.05,4069.3199999999993,36588.86568858893,-170.94,1054.64,36534.88,8798.157117128323,-488.6836582402985,412.5889228716838,8773.77041900416,4071.7128112841856,-245.4749717425208,259.3514086172984,4053.6211154344737,7199.2330459275845,115.1159095620669,358.2579463198177,7188.037010593671,0.11078674399347865,0.8891446495421639
2722.698569476146,1675.1374570464004,12646.03,16510.34,30489.33009935279,-725.94,-786.39,30424.46,12646.800176964756,-207.31624995210308,-325.79549920208,12640.132595273892,16510.929921442214,-325.43465759595097,-406.46373325682987,16502.127330522642,4115.247483393407,-166.43748284313236,-359.1990935134306,4093.7826603184453,-0.31932153361889554,1.3191998659158057
2707.3467783537317,1686.567594257639,16180.770000000004,13308.889999999998,85927.39155362858,313.14,-5010.51,85764.03,16181.371936522437,245.64282584444163,-650.1100035324039,16165.83849907942,13309.621819844308,-235.4507358589721,-1000.2736232841274,13269.158551379414,19362.943028082682,112.38597084836847,-1051.8009562386708,19333.52443026392,-0.06971831294916937,1.0696274380877189
2696.64799384337,1675.1729761430431,7527.660000000001,5833.56,22893.626483547774,1040.97,-935.28,22789.33,7528.953780624223,169.87854735449886,-355.14249666601836,7517.358589412278,5835.229406696516,654.8353521573489,-393.5458658720057,5783.315189977114,4625.916003482528,389.45498182011454,-429.57316151430354,4587.30973797738,1.3746764524215151,-0.3745891363960241
2691.0646854744996,1670.2790186076559,3171.9000000000005,5520.55,47690.55926077718,-2445.46,2543.05,47530.54,3174.969222713155,-33.889458521167825,413.73423980788283,3144.6184336754973,5522.314031063045,-327.3175923398526,150.36380874256483,5508.786274785515,9425.313441662072,-150.20116530614337,359.53064723028757,9416.22168611396,1.165539261075295,-0.16547774571213808
2673.9582275545945,1680.6882518777127,5276.570000000001,6462.359999999999,34508.58010392922,894.76,-3017.94,34323.59,5278.415569096069,169.72729030485786,-413.6039812436111,5257.595967600136,6463.867010139964,298.80311142841816,-350.90271213168353,6445.904184582588,9951.75876735242,615.7867469389887,-326.6033765484352,9926.336661886975,-0.3159422826164486,1.315821031801974
2654.910411411402,1660.7790340680842,7656.49,8268.16,27025.473323220445,-3037.04,1420.92,26765.19,7657.762014797519,-903.7208874196039,544.5969121234596,7583.438658092193,8269.337926386595,-725.8284065056885,687.0460858603113,8207.533770007494,11073.129639703304,-1183.9164202346626,308.18709245436975,11004.45740091002,-0.31934678197826005,1.319225111160352
2698.4827312765474,1678.3309417392993,9113.17,14581.359999999999,56365.30564593259,-4978.61,-4697.42,55922.97,9114.238717746852,-819.4369951792454,-445.20427334138816,9065.32865454034,14582.02795926464,-1102.5610193354796,-1321.5944972394168,14479.427013287106,4651.524403899842,-247.48402846456804,-601.4047002777967,4603.722772609003,1.2155300157762474,-0.21546233319542066
